// x, y, n_BG, n_sig0, n_sig1, n_sig2, n_sig3 
1000, 200, 6.76683e+09, 7707.04, 229.692, 3858.59, 110.194;
1000, 300, 4.34733e+09, 7655.88, 229.293, 3838.13, 109.706;
1000, 400, 2.93324e+09, 7593.46, 228.229, 3801.04, 109.035;
1000, 500, 2.02746e+09, 7488.07, 226.766, 3748.6, 108.729;
1000, 600, 1.42998e+09, 7357.09, 224.239, 3694.89, 107.692;
1000, 700, 1.03261e+09, 7192.35, 221.18, 3607.28, 106.716;
1000, 800, 7.52285e+08, 6949.84, 216.658, 3487.06, 104.702;
1000, 900, 5.49793e+08, 6675.61, 210.54, 3338.7, 101.957;
1000, 1000, 3.92881e+08, 6257.11, 203.757, 3131.51, 97.8687;
1000, 1100, 2.86788e+08, 5658.51, 191.787, 2844.39, 91.5841;
1000, 1200, 2.12951e+08, 5001.59, 180.216, 2516.33, 84.2623;
1000, 1300, 1.51621e+08, 4415.28, 166.916, 2204.27, 77.9167;
1000, 1400, 1.13708e+08, 3842.26, 154.281, 1911.39, 72.1812;
1000, 1500, 8.71339e+07, 3354.18, 141.38, 1666.47, 65.2865;
1000, 1600, 6.78859e+07, 2931.58, 128.745, 1463.76, 59.9782;
1000, 1700, 5.21118e+07, 2573.45, 116.243, 1278.31, 54.3647;
1000, 1800, 4.05285e+07, 2237.82, 105.071, 1115.24, 50.3987;
1000, 1900, 3.23986e+07, 1960.53, 94.9625, 973.281, 45.3955;
1000, 2000, 2.53912e+07, 1687.32, 85.7855, 836.433, 41.1244;
1000, 2100, 2.03381e+07, 1475.51, 79.1354, 731.56, 37.2804;
1000, 2200, 1.6543e+07, 1283.14, 70.6234, 640.754, 34.1076;
1000, 2300, 1.36641e+07, 1134.77, 64.6383, 549.309, 30.5077;
1000, 2400, 1.11084e+07, 999.705, 59.4513, 497.512, 27.4569;
1000, 2500, 9.23503e+06, 882.032, 55.5943, 440.598, 24.4672;
1000, 2600, 7.81284e+06, 780.732, 50.9393, 391.359, 21.9045;
1000, 2700, 6.52653e+06, 689.663, 46.5502, 340.84, 20.0131;
1000, 2800, 5.49095e+06, 613.944, 41.4962, 296.716, 18.5487;
1000, 2900, 4.61806e+06, 540.27, 37.2402, 264.103, 17.0233;
1000, 3000, 3.98148e+06, 499.341, 33.7822, 235.966, 15.925;
1000, 3100, 3.43418e+06, 450.225, 30.4572, 209.108, 14.8267;
1000, 3200, 2.98629e+06, 392.924, 27.5311, 186.087, 13.8505;
1000, 3300, 2.64829e+06, 349.948, 25.0041, 166.903, 12.3861;
1000, 3400, 2.32458e+06, 316.181, 22.8761, 147.079, 11.4099;
1000, 3500, 1.9791e+06, 287.53, 20.8811, 133.65, 10.4336;
1000, 3600, 1.69559e+06, 261.949, 19.2851, 122.14, 9.39637;
1000, 3700, 1.46916e+06, 236.368, 17.9551, 113.827, 8.66419;
1000, 3800, 1.27717e+06, 206.694, 16.6251, 103.595, 8.2981;
1000, 3900, 1.08949e+06, 181.113, 15.4281, 88.887, 7.56591;
1000, 4000, 956617, 166.788, 14.7631, 81.2133, 7.07779;
1100, 100, 8.5656e+09, 6439.25, 205.752, 3212.72, 97.8687;
1100, 200, 5.30369e+09, 6415.71, 205.486, 3204.41, 97.6857;
1100, 300, 3.48646e+09, 6387.06, 205.22, 3189.06, 97.3196;
1100, 400, 2.39981e+09, 6350.22, 204.422, 3162.84, 96.9535;
1100, 500, 1.68883e+09, 6280.64, 203.225, 3125.75, 96.8315;
1100, 600, 1.21396e+09, 6186.51, 200.964, 3089.94, 96.2823;
1100, 700, 8.93786e+08, 6073.95, 198.969, 3033.67, 95.4891;
1100, 800, 6.64818e+08, 5915.35, 195.378, 2952.46, 94.1468;
1100, 900, 4.95859e+08, 5745.49, 192.053, 2857.81, 92.0723;
1100, 1000, 3.63351e+08, 5516.28, 187.398, 2738.23, 89.3266;
1100, 1100, 2.72117e+08, 5180.66, 179.95, 2587.32, 86.0317;
1100, 1200, 2.04979e+08, 4679.27, 170.906, 2350.07, 80.4183;
1100, 1300, 1.46913e+08, 4199.37, 159.867, 2083.41, 74.988;
1100, 1400, 1.10966e+08, 3684.69, 148.828, 1823.78, 70.1067;
1100, 1500, 8.54987e+07, 3240.6, 137.656, 1604.44, 63.6391;
1100, 1600, 6.69062e+07, 2852.79, 126.218, 1419, 58.6968;
1100, 1700, 5.16934e+07, 2518.19, 114.381, 1250.17, 53.5715;
1100, 1800, 4.02623e+07, 2207.13, 104.007, 1095.42, 49.8496;
1100, 1900, 3.22162e+07, 1940.06, 93.8985, 961.131, 44.9684;
1100, 2000, 2.53185e+07, 1677.09, 84.9874, 828.12, 40.6973;
1100, 2100, 2.03063e+07, 1467.33, 78.3374, 726.444, 37.0364;
1100, 2200, 1.65181e+07, 1277, 70.0914, 637.557, 33.9246;
1100, 2300, 1.36405e+07, 1129.66, 64.5053, 547.391, 30.3857;
1100, 2400, 1.10848e+07, 996.635, 59.3183, 496.233, 27.3349;
1100, 2500, 9.23476e+06, 881.009, 55.4613, 439.319, 24.4062;
1100, 2600, 7.81258e+06, 780.732, 50.8063, 390.719, 21.8435;
1100, 2700, 6.52627e+06, 689.663, 46.4172, 340.84, 20.0131;
1100, 2800, 5.49069e+06, 613.944, 41.3632, 296.716, 18.5487;
1100, 2900, 4.61806e+06, 540.27, 37.2402, 264.103, 17.0233;
1100, 3000, 3.98148e+06, 499.341, 33.7822, 235.966, 15.925;
