// Wino with mass 3 TeV 
// leading jet pt, n_BG, n_sig, significance 
3515, 10.4716, 1.62219, 0.501296;
3525, 13.4804, 0, 0;
3535, 9.42483, 0.499219, 0.162613;
3545, 9.68376, 0.0330593, 0.0106236;
3555, 9.68872, 0, 0;
3565, 9.55288, 0.840866, 0.272057;
3575, 10.2204, 0, 0;
3585, 9.09055, 0, 0;
3595, 8.91162, 0, 0;
3605, 9.35379, 0.0148641, 0.00486008;
3615, 9.53602, 0, 0;
3625, 8.30912, 3.58238, 1.24278;
3635, 8.74921, 0.689388, 0.233066;
3645, 8.76536, 0.253612, 0.0856614;
3655, 8.18011, 0, 0;
3665, 8.18515, 1.67865, 0.586742;
3675, 8.45599, 0, 0;
3685, 8.05256, 0, 0;
3695, 7.66866, 0, 0;
3705, 8.22825, 0.423173, 0.147524;
3715, 7.0061, 0, 0;
3725, 7.40684, 0.00536931, 0.00197289;
3735, 7.56074, 0.509097, 0.185148;
3745, 6.91816, 0.687101, 0.261231;
3755, 7.58487, 0, 0;
3765, 7.86674, 0.0471899, 0.0168249;
3775, 7.20518, 0, 0;
3785, 6.9771, 0, 0;
3795, 7.24873, 0, 0;
3805, 6.65179, 0, 0;
3815, 6.63094, 0, 0;
3825, 7.01747, 0, 0;
3835, 5.91508, 0, 0;
3845, 5.93257, 0, 0;
3855, 5.93128, 0.0333689, 0.0137015;
3865, 6.06866, 2.53397, 1.02862;
3875, 6.20746, 0, 0;
3885, 6.40999, 0, 0;
3895, 6.39093, 0, 0;
3905, 6.02122, 0, 0;
3915, 5.56531, 0, 0;
3925, 6.02343, 0, 0;
3935, 5.94229, 0, 0;
3945, 5.64483, 0, 0;
3955, 5.4499, 0, 0;
3965, 5.63341, 0.88154, 0.371412;
3975, 4.99886, 0, 0;
3985, 4.898, 0, 0;
3995, 5.09247, 0.232054, 0.102831;
4005, 5.61519, 0, 0;
4015, 5.5459, 0, 0;
4025, 4.85488, 4.4616, 2.02489;
4035, 4.98189, 0, 0;
4045, 4.89431, 2.44746, 1.10629;
4055, 4.57898, 0.157854, 0.0737687;
4065, 4.33521, 0.194621, 0.0934726;
4075, 5.04152, 0, 0;
4085, 4.62272, 0, 0;
4095, 4.32236, 0, 0;
4105, 4.33862, 0, 0;
4115, 4.63852, 0, 0;
4125, 4.33103, 0, 0;
4135, 3.88304, 0, 0;
4145, 4.39155, 0.0100101, 0.00477674;
4155, 4.06995, 0, 0;
4165, 4.30547, 0.0354716, 0.0170951;
4175, 4.28591, 0, 0;
4185, 3.62891, 0, 0;
4195, 4.02097, 0, 0;
4205, 4.03727, 0, 0;
4215, 4.03345, 0, 0;
4225, 3.57137, 0, 0;
4235, 3.57042, 0, 0;
4245, 3.38491, 0, 0;
4255, 3.86937, 0, 0;
4265, 3.40346, 0, 0;
4275, 3.06295, 0, 0;
4285, 3.40494, 0, 0;
4295, 3.42699, 0.025632, 0.013846;
4305, 3.31929, 0, 0;
4315, 3.24336, 0, 0;
4325, 3.60672, 0.0174908, 0.00920987;
4335, 3.07956, 0, 0;
4345, 2.84489, 0.507512, 0.300894;
4355, 3.32217, 0, 0;
4365, 3.38499, 0, 0;
4375, 3.0133, 0, 0;
4385, 2.7439, 0, 0;
4395, 2.8731, 0, 0;
4405, 2.91234, 0, 0;
4415, 3.38671, 0, 0;
4425, 3.2978, 0, 0;
4435, 2.9875, 0, 0;
4445, 2.67138, 0, 0;
4455, 2.51457, 0, 0;
4465, 2.66487, 0, 0;
4475, 3.12508, 0.0896953, 0.0507386;
4485, 2.47602, 0, 0;
4495, 3.14073, 0, 0;
4505, 2.57193, 0, 0;
4515, 2.93407, 0.0939928, 0.0548731;
4525, 2.73419, 0, 0;
4535, 2.39184, 0.101851, 0.0658564;
4545, 2.32977, 0.00528989, 0.00346569;
4555, 2.52293, 0, 0;
4565, 2.8108, 0, 0;
4575, 2.33853, 0, 0;
4585, 2.34788, 0, 0;
4595, 2.15532, 0.0616855, 0.0420172;
4605, 2.41889, 0, 0;
4615, 2.0027, 0.000233247, 0.000164819;
4625, 2.06436, 0.0150338, 0.0104634;
4635, 2.30148, 0, 0;
4645, 2.20593, 0, 0;
4655, 2.04841, 0, 0;
4665, 1.99373, 3.84828, 2.72542;
4675, 2.03511, 0, 0;
4685, 2.3939, 0.262745, 0.169817;
4695, 1.87655, 0, 0;
4705, 1.94261, 0, 0;
4715, 2.00052, 0, 0;
4725, 1.86335, 0, 0;
4735, 2.16515, 0.000853594, 0.000580107;
4745, 1.91882, 0.0688716, 0.0497191;
4755, 1.9151, 0, 0;
4765, 1.83065, 0, 0;
4775, 1.74849, 0, 0;
4785, 1.71562, 0, 0;
4795, 2.13029, 0, 0;
4805, 1.60076, 0.000175589, 0.000138783;
4815, 1.72837, 0.267048, 0.203129;
4825, 1.67971, 0, 0;
4835, 1.64662, 2.47493, 1.92871;
4845, 1.64864, 0, 0;
4855, 1.97541, 0, 0;
4865, 1.69111, 0, 0;
4875, 1.86294, 0.003888, 0.00284857;
4885, 1.70221, 0.191004, 0.146398;
4895, 1.53163, 0.134904, 0.109005;
4905, 1.60637, 0.00772177, 0.00609249;
4915, 1.51992, 0, 0;
4925, 1.60251, 0, 0;
4935, 1.65341, 0, 0;
4945, 1.57112, 0, 0;
4955, 1.49092, 0, 0;
4965, 1.47393, 0, 0;
4975, 1.42498, 0, 0;
4985, 1.4988, 0, 0;
4995, 1.51779, 0, 0;
5005, 1.55137, 0, 0;
5015, 1.69856, 0, 0;
5025, 1.42418, 0.305479, 0.255976;
5035, 1.35676, 0.110662, 0.0950048;
5045, 1.29548, 0, 0;
5055, 1.36484, 0, 0;
5065, 1.33908, 0, 0;
5075, 1.29815, 0, 0;
5085, 1.32885, 0, 0;
5095, 1.29674, 0, 0;
5105, 1.18968, 0.411171, 0.37697;
5115, 1.20177, 0, 0;
5125, 1.21648, 0, 0;
5135, 1.21464, 0, 0;
5145, 1.27642, 0, 0;
5155, 1.20363, 0, 0;
5165, 1.14092, 0, 0;
5175, 1.1607, 0, 0;
5185, 1.03447, 0, 0;
5195, 1.05418, 0, 0;
5205, 1.2934, 0, 0;
5215, 1.01876, 0.2832, 0.28058;
5225, 1.09239, 0, 0;
5235, 1.12952, 0, 0;
5245, 1.10019, 0, 0;
5255, 1.04767, 0, 0;
5265, 1.02541, 0, 0;
5275, 1.07384, 0, 0;
5285, 1.09807, 0.00258591, 0.00246773;
5295, 1.02323, 0, 0;
5305, 1.05709, 0, 0;
5315, 0.925241, 0, 0;
5325, 0.965616, 0.0291165, 0.0296303;
