// x, y, n_BG, n_sig C1N1 1000, n_sig C1C1 1000 
4800, 6400, 17049.2+/-1364.59, 2.59369+/-1.902, 0.873368+/-1.902;
4800, 6500, 15690.9+/-1315.41, 2.59369+/-1.902, 0.873368+/-1.902;
4800, 6600, 14526.6+/-1271.75, 2.59369+/-1.902, 0.873368+/-1.902;
4800, 6700, 13750.4+/-1241.79, 2.18685+/-1.85798, 0.873368+/-1.85798;
4800, 6800, 12683.1+/-1199.37, 2.18685+/-1.85798, 0.873368+/-1.85798;
4800, 6900, 11421.8+/-1147.22, 2.18685+/-1.85798, 0.762154+/-1.85798;
4800, 7000, 9882.94+/-1030.94, 1.90277+/-1.83613, 0.762154+/-1.83613;
4800, 7100, 9009.72+/-989, 1.8865+/-1.83606, 0.762154+/-1.83606;
4800, 7200, 8233.53+/-950.164, 1.8865+/-1.83606, 0.762154+/-1.83606;
4800, 7300, 7651.38+/-919.962, 1.8865+/-1.83606, 0.593224+/-1.83606;
4800, 7400, 6487.09+/-856.368, 1.8844+/-1.83606, 0.32715+/-1.83606;
4800, 7500, 6001.97+/-828.431, 1.8844+/-1.83606, 0.32715+/-1.83606;
4800, 7600, 5419.83+/-793.609, 1.8844+/-1.83606, 0.279219+/-1.83606;
4800, 7700, 5128.75+/-775.612, 1.83573+/-1.83573, 0.279219+/-1.83573;
4800, 7800, 4837.68+/-757.188, 1.83573+/-1.83573, 0.279219+/-1.83573;
4800, 7900, 4449.59+/-731.901, 1.83573+/-1.83573, 0.279219+/-1.83573;
4800, 8000, 3783.94+/-605.916, 1.83573+/-1.83573, 0.188611+/-1.83573;
4800, 8100, 3298.82+/-565.743, 1.83573+/-1.83573, 0+/-1.83573;
4800, 8200, 2813.7+/-522.491, 1.83573+/-1.83573, 0+/-1.83573;
4800, 8300, 2328.58+/-475.319, 1.83573+/-1.83573, 0+/-1.83573;
4800, 8400, 2231.56+/-465.311, 1.83573+/-1.83573, 0+/-1.83573;
4800, 8500, 2037.51+/-444.62, 1.83573+/-1.83573, 0+/-1.83573;
4800, 8600, 1940.48+/-433.905, 1.83573+/-1.83573, 0+/-1.83573;
4800, 8700, 1552.39+/-388.097, 1.83573+/-1.83573, 0+/-1.83573;
4800, 8800, 1455.36+/-375.773, 1.83573+/-1.83573, 0+/-1.83573;
4800, 8900, 1164.29+/-336.102, 1.83573+/-1.83573, 0+/-1.83573;
4800, 9000, 1067.27+/-321.793, 1.83573+/-1.83573, 0+/-1.83573;
4800, 9100, 582.145+/-237.66, 1.83573+/-1.83573, 0+/-1.83573;
4800, 9200, 582.145+/-237.66, 1.83573+/-1.83573, 0+/-1.83573;
4800, 9300, 388.097+/-194.048, 1.83573+/-1.83573, 0+/-1.83573;
4800, 9400, 388.097+/-194.048, 1.83573+/-1.83573, 0+/-1.83573;
4800, 9500, 194.048+/-137.213, 0+/-0, 0+/-0;
4800, 9600, 0+/-0, 0+/-0, 0+/-0;
4800, 9700, 0+/-0, 0+/-0, 0+/-0;
4800, 9800, 0+/-0, 0+/-0, 0+/-0;
4800, 9900, 0+/-0, 0+/-0, 0+/-0;
4800, 10000, 194.048+/-137.213, 0+/-0, 0+/-0;
4900, 1000, 456238+/-46976.5, 5.34656+/-2.30807, 1.72243+/-2.30807;
4900, 2000, 120960+/-3860.59, 5.34656+/-2.30807, 1.72243+/-2.30807;
4900, 3000, 99305.6+/-3314.83, 5.34656+/-2.30807, 1.72236+/-2.30807;
4900, 3100, 98589+/-3299.73, 5.34654+/-2.30807, 1.72236+/-2.30807;
4900, 3200, 97410.2+/-3282.55, 5.34654+/-2.30807, 1.72236+/-2.30807;
4900, 3300, 95124.5+/-3229.87, 5.34654+/-2.30807, 1.72236+/-2.30807;
4900, 3400, 94541.8+/-3221.11, 5.34654+/-2.30807, 1.72236+/-2.30807;
4900, 3500, 93341.2+/-3198.22, 5.34654+/-2.30807, 1.72236+/-2.30807;
4900, 3600, 92461+/-3184.94, 5.34654+/-2.30807, 1.72236+/-2.30807;
4900, 3700, 91212.1+/-3149.41, 5.34654+/-2.30807, 1.72236+/-2.30807;
4900, 3800, 89867.3+/-3111.97, 5.34654+/-2.30807, 1.72236+/-2.30807;
4900, 3900, 88216.3+/-3086.15, 5.34654+/-2.30807, 1.72236+/-2.30807;
4900, 4000, 86386.4+/-3040.2, 5.11259+/-2.29619, 1.72236+/-2.29619;
4900, 4100, 85415.6+/-3024.68, 5.11259+/-2.29619, 1.72236+/-2.29619;
4900, 4200, 83863.1+/-2999.68, 5.11259+/-2.29619, 1.72236+/-2.29619;
4900, 4300, 81353+/-2941.2, 4.97622+/-2.29213, 1.7133+/-2.29213;
4900, 4400, 79994.6+/-2918.71, 4.97622+/-2.29213, 1.7133+/-2.29213;
4900, 4500, 78636.3+/-2896.05, 4.97622+/-2.29213, 1.7133+/-2.29213;
4900, 4600, 75725+/-2846.87, 4.97622+/-2.29213, 1.71146+/-2.29213;
4900, 4700, 73008.3+/-2800.19, 4.32282+/-2.19708, 1.66728+/-2.19708;
4900, 4800, 69334.9+/-2716.75, 4.27235+/-2.1965, 1.66728+/-2.1965;
4900, 4900, 66305+/-2636.71, 4.27235+/-2.1965, 1.51222+/-2.1965;
4900, 5000, 62035.9+/-2556.96, 4.02975+/-2.18969, 1.51222+/-2.18969;
4900, 5100, 55839.9+/-2415.15, 3.94429+/-2.18802, 1.51222+/-2.18802;
4900, 5200, 51777.9+/-2309.74, 3.94429+/-2.18802, 1.33962+/-2.18802;
4900, 5300, 47327.7+/-2190.71, 3.94429+/-2.18802, 1.33283+/-2.18802;
4900, 5400, 43640.8+/-2107.49, 3.94429+/-2.18802, 1.33283+/-2.18802;
4900, 5500, 39759.9+/-2016.17, 3.67601+/-2.17151, 1.19081+/-2.17151;
4900, 5600, 36364+/-1932.74, 3.67601+/-2.17151, 1.19081+/-2.17151;
4900, 5700, 32774.1+/-1840.43, 3.64661+/-2.17131, 1.19079+/-2.17131;
4900, 5800, 29863.4+/-1762.03, 2.59926+/-1.90201, 1.08999+/-1.90201;
4900, 5900, 27340.8+/-1691.16, 2.59926+/-1.90201, 1.05442+/-1.90201;
4900, 6000, 24811.1+/-1617.16, 2.59919+/-1.90201, 0.885394+/-1.90201;
4900, 6100, 22676.6+/-1551.81, 2.59919+/-1.90201, 0.885394+/-1.90201;
4900, 6200, 20251+/-1474.03, 2.59369+/-1.902, 0.885394+/-1.902;
4900, 6300, 18310.5+/-1408.72, 2.59369+/-1.902, 0.873368+/-1.902;
4900, 6400, 16855.2+/-1357.67, 2.59369+/-1.902, 0.873368+/-1.902;
4900, 6500, 15593.8+/-1311.83, 2.59369+/-1.902, 0.873368+/-1.902;
4900, 6600, 14429.5+/-1268.04, 2.59369+/-1.902, 0.873368+/-1.902;
4900, 6700, 13653.4+/-1237.99, 2.18685+/-1.85798, 0.873368+/-1.85798;
